"","POVST","Q1A","Q1B","Q1C","Q1D"
"261","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"262","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"263","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"264","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"265","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"266","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"267","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"268","(3) 51 to 75 percent","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"269","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"270","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week"
"271","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"272","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"273","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"274","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"275","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"276","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"277","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"278","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"279","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"280","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"281","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"282","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"283","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"284","(2) 26 to 50 percent","(3) Once or twice a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"285","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"286","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"287","(1) 25 percent or less","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"288","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"289","(3) 51 to 75 percent","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"290","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"291","(3) 51 to 75 percent","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"292","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"293","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"294","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"295","(1) 25 percent or less","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"296","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"297","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"298","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"299","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"300","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"301","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"302","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"303","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"304","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"305","(2) 26 to 50 percent","(3) Once or twice a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"306","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"307","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"308","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"309","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"310","(3) 51 to 75 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"311","(3) 51 to 75 percent","(3) Once or twice a week","(1) Every day","(5) Not at all","(5) Not at all"
"312","(2) 26 to 50 percent","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"313","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"314","(1) 25 percent or less","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"315","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"316","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"317","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"318","(4) 76 percent or more","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"319","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"320","(2) 26 to 50 percent","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"321","(2) 26 to 50 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"322","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"323","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"324","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"325","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"326","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"327","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"328","(1) 25 percent or less","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"329","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"330","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all"
"331","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"332","(3) 51 to 75 percent","(5) Not at all","(4) Less than once a week","(5) Not at all","(5) Not at all"
"333","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"334","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"335","(4) 76 percent or more","(1) Every day","(3) Once or twice a week","(5) Not at all","(1) Every day"
"336","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"337","(2) 26 to 50 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"338","(3) 51 to 75 percent","(3) Once or twice a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"339","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"340","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"341","(4) 76 percent or more","(3) Once or twice a week","(5) Not at all","(5) Not at all","(4) Less than once a week"
"342","(2) 26 to 50 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"343","(2) 26 to 50 percent","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"344","(2) 26 to 50 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"345","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"346","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"347","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"348","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"349","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"350","(2) 26 to 50 percent","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"351","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"352","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"353","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"354","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"355","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(4) Less than once a week","(3) Once or twice a week"
"356","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"357","(1) 25 percent or less","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"358","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"359","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"360","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"361","(1) 25 percent or less","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(4) Less than once a week"
"362","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"363","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"364","(4) 76 percent or more","(4) Less than once a week","(1) Every day","(5) Not at all","(5) Not at all"
"365","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"366","(2) 26 to 50 percent","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"367","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"368","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"369","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"370","(1) 25 percent or less","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"371","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(4) Less than once a week"
"372","(2) 26 to 50 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"373","(3) 51 to 75 percent","(3) Once or twice a week","(4) Less than once a week","(3) Once or twice a week","(5) Not at all"
"374","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"375","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"376","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"377","(3) 51 to 75 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(3) Once or twice a week","(5) Not at all"
"378","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"379","(2) 26 to 50 percent","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"380","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"381","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"382","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"383","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(3) Once or twice a week"
"384","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"385","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"386","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"387","(1) 25 percent or less","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"388","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"389","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"390","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"391","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"392","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"393","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"394","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"395","(1) 25 percent or less","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"396","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"397","(2) 26 to 50 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"398","(1) 25 percent or less","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"399","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"400","(4) 76 percent or more","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"401","(2) 26 to 50 percent","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"402","(4) 76 percent or more","(3) Once or twice a week","(5) Not at all","(5) Not at all","(5) Not at all"
"403","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"404","(4) 76 percent or more","(4) Less than once a week","(1) Every day","(5) Not at all","(5) Not at all"
"405","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"406","(1) 25 percent or less","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"407","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(3) Once or twice a week"
"408","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"409","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"410","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"411","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"412","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"413","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"414","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"415","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"416","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"417","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"418","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"419","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"420","(3) 51 to 75 percent","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"421","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"422","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"423","(3) 51 to 75 percent","(4) Less than once a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"424","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"425","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"426","(2) 26 to 50 percent","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"427","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"428","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"429","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"430","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"431","(3) 51 to 75 percent","(5) Not at all","(4) Less than once a week","(5) Not at all","(5) Not at all"
"432","(4) 76 percent or more","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"433","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"434","(2) 26 to 50 percent","(4) Less than once a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"435","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"436","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all"
"437","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"438","(1) 25 percent or less","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"439","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"440","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"441","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"442","(3) 51 to 75 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"443","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"444","(1) 25 percent or less","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"445","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"446","(4) 76 percent or more","(3) Once or twice a week","(5) Not at all","(5) Not at all","(5) Not at all"
"447","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"448","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"449","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"450","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(3) Once or twice a week"
"451","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"452","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"453","(4) 76 percent or more","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"454","(4) 76 percent or more","(5) Not at all","(4) Less than once a week","(5) Not at all","(5) Not at all"
"455","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"456","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"457","(1) 25 percent or less","(3) Once or twice a week","(4) Less than once a week","(5) Not at all","(3) Once or twice a week"
"458","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"459","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"460","(4) 76 percent or more","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"461","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"462","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"463","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"464","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"465","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"466","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"467","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"468","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"469","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"470","(2) 26 to 50 percent","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"471","(3) 51 to 75 percent","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"472","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"473","(1) 25 percent or less","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"474","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"475","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"476","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"477","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"478","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all"
"479","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"480","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"481","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"482","(1) 25 percent or less","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"483","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"484","(2) 26 to 50 percent","(4) Less than once a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"485","(4) 76 percent or more","(3) Once or twice a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"486","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"487","(1) 25 percent or less","(4) Less than once a week","(5) Not at all","(5) Not at all","(5) Not at all"
"488","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"489","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"490","(3) 51 to 75 percent","(4) Less than once a week","(5) Not at all","(5) Not at all","(5) Not at all"
"491","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"492","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"493","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"494","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"495","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"496","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"497","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"498","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"499","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"500","(2) 26 to 50 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"501","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"502","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"503","(3) 51 to 75 percent","(4) Less than once a week","(5) Not at all","(5) Not at all","(5) Not at all"
"504","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"505","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(4) Less than once a week","(5) Not at all"
"506","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"507","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"508","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"509","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"510","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"511","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"512","(3) 51 to 75 percent","(4) Less than once a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"513","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"514","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"515","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"516","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"517","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"518","(4) 76 percent or more","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"519","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"520","(2) 26 to 50 percent","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
